name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
Advanced Encryption Standard,,https://csrc.nist.gov/projects/block-cipher-techniques,logos/ea1f7d95bfc86df67400a503baea0601fd4e5a672f77067915c08d796b31c016.png,,,,,graduated,"schluessel,symmetrisch,verschluesselung",,,AES verschlüsselt Daten symmetrisch. Ver- und Entschlüsselung erfolgt mit dem gleichen Schlüssel. ,,,,,,,,,,,, Betrieb, Sicherheit,true,,,,,,,,,,,,1997-01-02,2000-10-02,2000-10-02,,,,,,,,2025-11-11,https://www.bsi.bund.de/SharedDocs/Downloads/DE/BSI/Publikationen/TechnischeRichtlinien/TR02102/BSI-TR-02102.pdf?__blob=publicationFile
Agent Network Protocol,,https://agent-network-protocol.com/,logos/f851e80651a6f09f22b45ccd169fe3ebbee3a43fc2e83a6179c1825ed06c4583.png,,,,,graduated,"agent,kommunikation,agentische-ki",,,"ANP ermöglicht sichere, dezentralisierte Kommunikation zwischen KI-Agenten über offene Internet-Infrastrukturen. Fungiert als standardisiertes Peer-to-Peer-Protokoll für agentengesteuerte Kollaborationen und etabliert ein ""HTTP für das Agent-Internet-Zeitalter"" durch interoperable Identitätsverwaltung und semantische Datenverknüpfung.",,,,,,,,,,,, Plattform, KI,true,,,,,,,,,,,,2024-10-23,2024-10-24,2025-05-19,,,,,,,,2025-11-11,https://github.com/agent-network-protocol
Agent-to-Agent Protocol,,https://a2aprotocol.ai/,logos/94eb78506809ea76f57f09083f66998b41a5fdb1fba06e996b23e90ebd439011.png,,,,,graduated,"agent,prozess,agentische-ki,automatisierung",,,"A2A ermöglicht KI-Agenten, die auf unterschiedlichen Frameworks verschiedener Unternehmen basieren und auf separaten Servern laufen, effektiv zu kommunizieren und zusammenzuarbeiten. A2A zielt darauf ab, eine gemeinsame Sprache für Agenten bereitzustellen und so ein stärker vernetztes, leistungsfähigeres und innovativeres KI-Ökosystem zu fördern. A2A integriert ACP (Agent Communication Protocol).",,,,,,,,,,,, Plattform, KI,true,,,,,,,,,,,,2025-03-26,2025-06-09,2025-06-30,,,,,,,,2025-11-11,https://github.com/i-am-bee/beeai-platform/blob/main/docs/community-and-support/acp-a2a-migration-guide.mdx
Agent-User Interaction Protocol (AG-UI),,https://ag-ui.com,logos/f25b349d85d5b846a0f4e7e49c0e9ad59d2659855901c4338e088c985eb9503b.png,,,,,sandbox,"agent,agentische-ki,user-interface",,,"AG-UI standardisiert Status, Ziel und Interaktion von KI-Agenten und deren Laufzeit gegenüber den Nutzenden.",,,,,,,,,,,, Plattform, KI,true,,,,,,,,,,,,2025-05-07,,,,,,,,,,2025-11-11,https://github.com/ag-ui-protocol/ag-ui
Android,,https://www.android.com/,logos/86179d131fd1e4ea2eb8c62e57dc62ea60ce64eeb2fd26d1e1aec14b57e0a33c.png,,,,,graduated,"mobil,app,betriebssystem",,,Android ist ein offenes Betriebssystem für die Arbeit auf mobilen Endgeräten. ,,,,,,,,,,,, Zugang, Native Apps,true,,,,,,,,,,,,2008-09-23,2008-09-23,2025-06-10,,,,,,,,2025-11-11,https://source.android.com/docs?hl=de
Angel-ML,,https://angelml.ai,logos/368cb76534a255996c3a7892d13b93af7d06733c72bbb4106553545cfd9a0589.png,,,,,graduated,"machine-learning,verarbeitung,ml",,,"Angel-ML ist eine hochperformante verteilte Machine Learning-Plattform, die auf der Parameter Server-Philosophie basiert und von Tencent entwickelt wurde. Das System ist speziell für Big Data-Szenarien optimiert und bietet eine Full-Stack-Lösung für Feature Engineering, Modelltraining, Parameter-Tuning und Model Serving. Angel unterstützt verschiedene ML-Algorithmen wie statistische Verfahren, neuronale Netze und Graph Computing und ist das erste chinesische Open-Source-Projekt, das von der Linux Foundation AI graduiert wurde.",,,,,,,,,,,, Plattform, KI,true,,,,,,,,,,,,2017-06-15,2017-06-15,2021-08-18,,,,,,,,2025-11-11,https://github.com/Angel-ML/angel/
Angular,,https://angular.dev/,logos/05c03673494d1ae92ddaaa0ab9d0c4e6de9decf5e3d5bc20e8c032fb2edb52b7.png,,,,,graduated,"webframework,user-interface",,,"Angular ist ein Webframework, das Entwicklern die Erstellung schneller und zuverlässiger Anwendungen ermöglicht.",,,,,,,,,,,, Betrieb, Entwicklung,true,,,,,,,,,,,,2014-11-25,2021-02-11,2025-09-17,,,,,,,,2025-11-11,https://angular.dev/overview
Appsmith,,https://www.appsmith.com/,logos/b8194649c4ed39bd0ef22c72eac8f25f1426926f48aeedd21fd111833150c3de.png,,,,,graduated,"rest-graphql,open-source,drag-drop,javascript",,,Appsmith will die Erstellung individueller Admin-Panels und interner Apps mit vorgefertigten Widgets und Datenquellenanbindung beschleunigen.,,,,,,,,,,,, Plattform, LowCode,true,,,,,,,,,,,,2020-06-29,2020-06-29,2025-08-11,,,,,,,,2025-11-11,https://github.com/appsmithorg/appsmith
Axolotl,,https://axolotl.ai/,logos/f4f5fe1ee6a2b003aeee64a4563a767829276e3f5adc4cf3beee647b12ee3e07.png,,,,,graduated,"verarbeitung,training,feintuning",,,Axolotl ist ein Framework zum Feintuning von großen Sprachmodellen. Dafür können optimierte Workflows genutzt werden.,,,,,,,,,,,, Plattform, KI,true,,,,,,,,,,,,2023-05-30,2023-05-30,2025-08-18,,,,,,,,2025-11-11,https://docs.axolotl.ai/
Blink,,https://www.chromium.org/blink/,logos/d619a23cab9cb0d2a6d887716bde949acd3af071523f3f2b7c71369aceec8192.png,,,,,graduated,"webseite,browser-engine,rendern",,,"Blink ist eine Browser-Engine zum Rendern von Webseiten. Es wird insbesondere von Google für Chrome, Microsoft für Edge und Opera genutzt. ",,,,,,,,,,,, Zugang, Browser,true,,,,,,,,,,,,2013-04-03,2013-04-03,2025-10-01,,,,,,,,2025-11-11,https://developer.chrome.com/docs/web-platform/blink?hl=de
